vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
,,,,,,,,,,,,,,,,,
CMT,2012-12-13 08:17:27,2012-12-13 08:38:40,1,1.9,-73.96411,40.757821,1,N,-73.983536,40.754967,CRD,14.5,0,0.5,3,0,18
CMT,2012-12-13 08:35:37,2012-12-13 08:54:25,1,3.4,-73.9685,40.798956,1,N,-73.98414,40.759404,CRD,15,0,0.5,3.1,0,18.6
CMT,2012-12-13 08:38:59,2012-12-13 08:43:43,1,0.7,-74.006575,40.731896,1,N,-73.998296,40.736337,CRD,5.5,0,0.5,1,0,7
CMT,2012-12-13 08:56:37,2012-12-13 09:00:01,1,0.6,-73.975472,40.78534,1,N,-73.97174,40.791869,CRD,4.5,0,0.5,1,0,6
CMT,2012-12-13 07:43:04,2012-12-13 07:47:53,1,0.7,-73.984874,40.763159,1,N,-73.974123,40.759363,CRD,5,0,0.5,1.1,0,6.6
CMT,2012-12-13 08:55:17,2012-12-13 09:04:04,1,2.3,-73.974767,40.782949,1,N,-73.958414,40.810063,CRD,9.5,0,0.5,2.5,0,12.5
CMT,2012-12-13 06:03:31,2012-12-13 06:07:48,1,1.7,-73.993222,40.736654,1,N,-73.975376,40.749668,CRD,6.5,0,0.5,1,0,8
CMT,2012-12-13 08:50:52,2012-12-13 09:13:11,1,6.3,-74.012249,40.701582,1,N,-73.968948,40.763982,CRD,22.5,0,0.5,2,0,25
CMT,2012-12-13 08:28:40,2012-12-13 08:34:43,1,0.6,-73.995863,40.759062,1,N,-73.985153,40.755145,CRD,6,0,0.5,1.6,0,8.1
CMT,2012-12-13 08:06:26,2012-12-13 08:10:37,1,0.3,-73.961154,40.774733,1,N,-73.9566,40.775513,CRD,4.5,0,0.5,0.01,0,5.01
CMT,2012-12-13 08:10:40,2012-12-13 08:17:40,1,1.4,-73.956775,40.775286,1,N,-73.975645,40.780394,CRD,7.5,0,0.5,1.6,0,9.6
CMT,2012-12-13 09:04:32,2012-12-13 09:11:56,1,0.5,-73.962532,40.767272,1,N,-73.969006,40.765197,CRD,6,0,0.5,1.3,0,7.8
CMT,2012-12-13 09:17:12,2012-12-13 09:26:44,1,2.1,-73.962217,40.794914,1,N,-73.968877,40.770001,CRD,9.5,0,0.5,1,0,11
CMT,2012-12-13 08:09:18,2012-12-13 08:13:25,1,0.6,-74.001309,40.746833,1,N,-74.007463,40.752558,CRD,5,0,0.5,2,0,7.5
CMT,2012-12-13 08:45:44,2012-12-13 08:56:59,1,1.5,-73.981193,40.768709,1,N,-73.958285,40.764227,CRD,9.5,0,0.5,1,0,11
CMT,2012-12-21 12:43:21,2012-12-21 13:00:38,3,2.7,-73.980605,40.754025,1,N,-73.972563,40.780952,CSH,13,0,0.5,0,0,13.5
CMT,2012-12-13 07:31:07,2012-12-13 07:50:54,1,9.3,-73.970334,40.752256,1,N,-73.86153,40.768227,CRD,27,0,0.5,6.46,4.8,38.76
CMT,2012-12-13 08:17:08,2012-12-13 08:20:29,1,0.6,-73.984778,40.769595,1,N,-73.98274,40.762995,CRD,4.5,0,0.5,1,0,6
CMT,2012-12-13 08:25:54,2012-12-13 08:39:50,1,2.2,-74.013301,40.714476,1,N,-73.993511,40.727435,CRD,11.5,0,0.5,1.25,0,13.25
CMT,2012-12-13 09:02:18,2012-12-13 09:04:10,2,0.4,-74.001333,40.736302,1,N,-74.007448,40.732907,CRD,3.5,0,0.5,0.8,0,4.8
CMT,2012-12-13 08:04:11,2012-12-13 08:21:09,1,2,-73.961121,40.760746,1,N,-73.957003,40.78332,CRD,12,0,0.5,2,0,14.5
CMT,2012-12-13 08:38:28,2012-12-13 09:00:10,2,5,-74.009732,40.703537,1,N,-73.980363,40.745338,CRD,20.5,0,0.5,4.2,0,25.2
CMT,2012-12-13 06:50:02,2012-12-13 07:12:24,1,12.3,-74.007365,40.705252,1,N,-73.861177,40.767885,CRD,35,0,0.5,7.1,0,42.6
CMT,2012-12-13 09:07:25,2012-12-13 09:17:46,1,1.5,-74.00196,40.747065,1,N,-73.99938,40.728598,CRD,8.5,0,0.5,1,0,10
CMT,2012-12-13 08:56:10,2012-12-13 09:00:56,1,0.4,-74.009418,40.709288,1,N,-74.013269,40.70398,CRD,5,0,0.5,0.5,0,6
CMT,2012-12-13 07:56:37,2012-12-13 08:28:36,2,7.2,-73.870562,40.77371,1,N,-73.953614,40.730242,CRD,25,0,0.5,6.37,0,31.87
CMT,2012-12-13 08:58:05,2012-12-13 09:13:36,1,1.5,-73.992778,40.742892,1,N,-73.97194,40.746265,CRD,11,0,0.5,2.3,0,13.8
CMT,2012-12-13 07:30:56,2012-12-13 07:43:09,1,1.2,-73.973761,40.755289,1,N,-73.982919,40.767131,CRD,9.5,0,0.5,2.5,0,12.5
CMT,2012-12-13 07:37:02,2012-12-13 07:48:17,1,1.4,-73.981363,40.770988,1,N,-73.975464,40.756131,CRD,9,0,0.5,1.9,0,11.4
CMT,2012-12-13 07:43:41,2012-12-13 08:04:51,2,2.2,-73.955958,40.776067,1,N,-73.980777,40.760192,CRD,14.5,0,0.5,1.5,0,16.5
CMT,2012-12-13 08:20:04,2012-12-13 08:34:49,1,2.2,-73.958915,40.809384,1,N,-73.939865,40.83828,CRD,11.5,0,0.5,1,0,13
CMT,2012-12-13 08:51:25,2012-12-13 09:09:19,1,3.3,-73.948154,40.776374,1,N,-73.980444,40.759093,CRD,14.5,0,0.5,3,0,18
CMT,2012-12-13 05:53:43,2012-12-13 05:58:40,1,1.4,-74.001632,40.741037,1,N,-74.001683,40.724472,CRD,6.5,0.5,0.5,2.25,0,9.75
CMT,2012-12-13 07:53:59,2012-12-13 08:01:56,1,1,-73.991381,40.744798,1,N,-73.97601,40.741579,CRD,7,0,0.5,1.5,0,9
CMT,2012-12-13 06:50:18,2012-12-13 07:09:30,1,6.5,-73.929734,40.762185,1,N,-73.975704,40.719094,CRD,21.5,0,0.5,4.4,0,26.4
CMT,2012-12-13 06:45:19,2012-12-13 06:54:23,1,2.4,-73.992509,40.734559,1,N,-74.013715,40.714999,CRD,9.5,0,0.5,1.58,0,11.58
CMT,2012-12-13 08:46:49,2012-12-13 08:59:59,1,4.7,-74.003556,40.708171,1,N,-73.976743,40.752079,CRD,16.5,0,0.5,3.4,0,20.4
CMT,2012-12-13 08:11:51,2012-12-13 08:48:38,2,20.6,-73.960631,40.759127,2,N,-73.776351,40.645455,CRD,52,0,0.5,10.08,4.8,67.38
CMT,2012-12-13 08:41:21,2012-12-13 08:51:02,1,1.7,-73.927857,40.720479,1,N,-73.927857,40.720479,CRD,8.5,0,0.5,1.8,0,10.8
CMT,2012-12-13 08:49:11,2012-12-13 09:08:40,1,2.3,-73.951207,40.782785,1,N,-73.978413,40.772765,CRD,12.5,0,0.5,1,0,14
CMT,2012-12-13 07:02:18,2012-12-13 07:11:47,1,1.8,-73.980589,40.785104,1,N,-73.979406,40.76379,CRD,9,0,0.5,1,0,10.5
CMT,2012-12-13 09:00:52,2012-12-13 09:14:38,1,1.6,-73.992306,40.72875,1,N,-74.006816,40.723014,CRD,10.5,0,0.5,2,0,13
CMT,2012-12-13 07:52:50,2012-12-13 08:00:44,1,1,-73.987242,40.750453,1,N,-73.977751,40.74243,CRD,7,0,0.5,1.5,0,9
CMT,2012-12-13 07:15:47,2012-12-13 07:24:47,1,2,-73.973721,40.789478,1,N,-73.980837,40.765601,CRD,9,0,0.5,1,0,10.5
CMT,2012-12-22 01:55:08,2012-12-22 02:12:10,2,3.8,-73.983598,40.743875,1,N,-74.009219,40.718696,CSH,16,0.5,0.5,0,0,17
CMT,2012-12-13 08:47:18,2012-12-13 08:59:02,1,1.2,-73.982431,40.76643,1,N,-73.98091,40.754334,CRD,9,0,0.5,1.9,0,11.4
CMT,2012-12-13 08:47:11,2012-12-13 09:06:09,1,2.3,-73.976994,40.774797,1,N,-73.953561,40.766434,CRD,13.5,0,0.5,2.8,0,16.8
CMT,2012-12-13 07:57:43,2012-12-13 08:15:49,1,3.2,-73.961454,40.760642,4,N,-73.990006,40.745007,CRD,14.5,0,0.5,3,0,18
CMT,2012-12-13 07:46:40,2012-12-13 07:53:14,4,0.8,-73.985996,40.752522,1,N,-73.986759,40.761833,CRD,6,0,0.5,1.3,0,7.8
CMT,2012-12-13 07:05:01,2012-12-13 07:19:34,1,5.1,-73.984657,40.774806,1,Y,-74.014422,40.713959,CRD,17,0,0.5,3.5,0,21
CMT,2012-12-13 09:01:24,2012-12-13 09:07:00,1,0.9,-73.972961,40.744197,1,N,-73.972187,40.754799,CRD,6,0,0.5,1.3,0,7.8
CMT,2012-12-13 09:01:32,2012-12-13 09:14:41,1,1.1,-73.962915,40.755878,1,N,-73.976267,40.757405,CRD,9,0,0.5,1.9,0,11.4
CMT,2012-12-13 08:43:05,2012-12-13 09:00:49,1,6.5,-73.969673,40.763227,1,N,-74.011345,40.702086,CRD,22,0,0.5,2,0,24.5
CMT,2012-12-13 08:50:07,2012-12-13 09:01:22,1,1.9,-73.996041,40.741804,1,N,-74.007157,40.71985,CRD,9.5,0,0.5,2,0,12
CMT,2012-12-13 08:37:08,2012-12-13 09:02:47,1,8.2,-73.987096,40.719779,1,N,-73.974205,40.654314,CRD,27,0,0.5,5.5,0,33
CMT,2012-12-13 07:03:33,2012-12-13 07:07:25,1,1.1,-73.995207,40.74456,1,N,-73.984131,40.754645,CRD,5.5,0,0.5,1.2,0,7.2
CMT,2012-12-13 07:02:38,2012-12-13 07:09:01,1,1.5,-73.991668,40.749303,1,N,-73.983051,40.734811,CRD,7,0,0.5,1.5,0,9
CMT,2012-12-13 08:51:56,2012-12-13 08:58:15,1,1,-74.005663,40.74833,1,N,-73.990169,40.740472,CRD,6.5,0,0.5,1,0,8
CMT,2012-12-13 09:04:09,2012-12-13 09:23:33,1,3.1,-73.976827,40.759795,1,N,-73.983522,40.723675,CRD,15,0,0.5,3.1,0,18.6
CMT,2012-12-13 08:41:20,2012-12-13 08:51:59,1,1.5,-73.963447,40.77426,1,N,-73.980161,40.765376,CRD,9,0,0.5,2.35,0,11.85
CMT,2012-12-13 08:43:28,2012-12-13 08:51:58,1,0.8,-73.987515,40.754551,1,N,-73.975745,40.749249,CRD,7,0,0.5,2.25,0,9.75
CMT,2012-12-13 09:06:54,2012-12-13 09:25:47,1,3,-74.008941,40.71368,1,N,-73.988293,40.749062,CRD,14.5,0,0.5,3,0,18
CMT,2012-12-13 08:33:30,2012-12-13 08:41:15,1,1.2,-73.964167,40.77375,1,N,-73.97752,40.759288,CRD,7.5,0,0.5,2,0,10
CMT,2012-12-13 08:26:13,2012-12-13 08:41:09,1,1.9,-73.952863,40.786373,1,N,-73.971329,40.761966,CRD,11,0,0.5,2.3,0,13.8
CMT,2012-12-13 08:32:24,2012-12-13 09:15:39,1,17.8,-73.993941,40.732889,2,N,-73.782814,40.644005,CRD,52,0,0.5,17.19,4.8,74.49
CMT,2012-12-13 08:04:34,2012-12-13 08:18:07,1,2.2,-73.992458,40.730333,1,N,-73.993637,40.752432,CRD,11.5,0,0.5,1.5,0,13.5
CMT,2012-12-13 07:54:58,2012-12-13 08:18:36,1,5,-73.983468,40.72151,1,N,-73.979008,40.764568,CRD,19.5,0,0.5,1,0,21
CMT,2012-12-13 08:34:39,2012-12-13 08:49:18,1,1.7,-73.962242,40.758128,1,N,-73.989659,40.769627,CRD,10.5,0,0.5,2.2,0,13.2
CMT,2012-12-13 07:48:26,2012-12-13 07:53:10,1,0.9,-73.959666,40.782632,1,N,-73.963527,40.771764,CRD,5.5,0,0.5,1,0,7
CMT,2012-12-13 07:36:39,2012-12-13 07:53:43,1,2.4,-73.960713,40.769926,1,N,-73.989567,40.756482,CRD,13,0,0.5,2.7,0,16.2
CMT,2012-12-13 08:21:44,2012-12-13 08:43:32,1,11.3,-73.972837,40.755781,1,N,-73.865458,40.770833,CRD,31.5,0,0.5,7.36,4.8,44.16
CMT,2012-12-13 08:17:21,2012-12-13 08:43:45,1,11.7,-73.985989,40.759871,1,N,-73.861239,40.767985,CRD,34.5,0,0.5,9.95,4.8,49.75
CMT,2012-12-13 08:34:10,2012-12-13 08:45:10,1,1.8,-73.974754,40.746353,1,N,-73.991189,40.730899,CRD,9.5,0,0.5,1,0,11
CMT,2012-12-13 08:34:54,2012-12-13 08:43:54,2,1,-73.981041,40.762612,1,N,-73.976584,40.753733,CRD,7.5,0,0.5,1.6,0,9.6
CMT,2012-12-13 08:26:54,2012-12-13 08:45:14,1,4.6,-73.993251,40.758068,1,N,-74.017228,40.705363,CRD,17.5,0,0.5,5.4,0,23.4
CMT,2012-12-13 08:47:26,2012-12-13 09:16:08,2,4.5,-73.986923,40.761242,1,N,-74.013925,40.706016,CRD,20.5,0,0.5,4.2,0,25.2
CMT,2012-12-13 09:01:37,2012-12-13 09:16:52,1,1.8,-73.984692,40.745297,1,N,-73.97642,40.762825,CRD,11,0,0.5,2.3,0,13.8
CMT,2012-12-13 07:22:33,2012-12-13 07:36:18,1,3.7,-73.953033,40.768018,1,N,-73.989445,40.735275,CRD,14.5,0,0.5,3,0,18
CMT,2012-12-13 08:44:50,2012-12-13 09:00:42,1,0.9,-73.981735,40.755668,1,N,-73.980174,40.764819,CRD,10.5,0,0.5,2.2,0,13.2
CMT,2012-12-13 08:06:53,2012-12-13 08:15:36,1,0.9,-73.958269,40.76877,1,N,-73.955228,40.765607,CRD,7,0,0.5,2.25,0,9.75
CMT,2012-12-13 08:06:01,2012-12-13 08:14:37,2,0.6,-73.954297,40.787167,1,N,-73.961427,40.78013,CRD,7,0,0.5,1.5,0,9
CMT,2012-12-13 08:24:44,2012-12-13 08:38:41,1,3,-74.006703,40.731823,1,N,-73.978301,40.759091,CRD,12.5,0,0.5,1.5,0,14.5
CMT,2012-12-13 08:10:30,2012-12-13 08:18:48,1,1.8,-73.971459,40.782826,1,N,-73.980443,40.764745,CRD,8.5,0,0.5,1,0,10
CMT,2012-12-13 08:56:56,2012-12-13 09:00:10,1,0.9,-73.960188,40.771106,1,N,-73.952542,40.782481,CRD,5,0,0.5,1,0,6.5
CMT,2012-12-13 08:28:14,2012-12-13 08:38:27,1,1.5,-73.961358,40.774646,1,N,-73.979197,40.761811,CRD,9,0,0.5,1,0,10.5
CMT,2012-12-13 08:24:34,2012-12-13 08:39:45,1,1.9,-73.982572,40.731407,1,N,-73.979877,40.752812,CRD,11.5,0,0.5,2.4,0,14.4
CMT,2012-12-13 08:54:01,2012-12-13 08:56:48,1,0.6,-73.948907,40.773562,1,N,-73.955047,40.767445,CRD,4.5,0,0.5,1,0,6
CMT,2012-12-13 09:00:14,2012-12-13 09:23:07,1,3.8,-74.010573,40.711122,1,N,-73.995096,40.74987,CRD,18.5,0,0.5,3.8,0,22.8
CMT,2012-12-13 08:41:30,2012-12-13 08:50:52,1,0.6,-73.982796,40.76371,1,N,-73.987221,40.759045,CRD,7,0,0.5,1.87,0,9.37
CMT,2012-12-13 09:08:48,2012-12-13 09:25:55,1,2.6,-73.971111,40.751195,1,N,-74.001318,40.735974,CRD,13,0,0.5,1.5,0,15
CMT,2012-12-13 08:45:26,2012-12-13 08:52:19,1,1.2,-74.002624,40.745136,1,N,-74.008928,40.731352,CRD,6.5,0,0.5,1.4,0,8.4
CMT,2012-12-13 09:00:46,2012-12-13 09:11:16,1,0.6,-73.960988,40.75903,1,N,-73.968348,40.763363,CRD,7.5,0,0.5,1,0,9
CMT,2012-12-13 07:39:43,2012-12-13 07:49:37,1,1.7,-73.957614,40.770182,1,N,-73.982306,40.774668,CRD,9,0,0.5,1,0,10.5
CMT,2012-12-13 08:37:09,2012-12-13 08:55:23,1,2.2,-73.980753,40.730239,1,N,-74.000892,40.716446,CRD,13,0,0.5,1.5,0,15
CMT,2012-12-13 08:53:09,2012-12-13 08:56:12,2,0.6,-73.967172,40.803475,1,N,-73.971271,40.795189,CRD,4.5,0,0.5,1,0,6
CMT,2012-12-13 08:02:15,2012-12-13 08:17:31,1,2.3,-73.956073,40.76783,1,N,-73.984203,40.761462,CRD,12,0,0.5,2.5,0,15
CMT,2012-12-13 08:14:01,2012-12-13 08:19:58,1,1.1,-73.987466,40.755328,1,N,-73.984226,40.7436,CRD,6.5,0,0.5,1.75,0,8.75
CMT,2012-12-13 07:47:40,2012-12-13 07:53:20,1,1.1,-73.979102,40.744561,1,N,-73.992302,40.742965,CRD,6,0,0.5,1.3,0,7.8
CMT,2012-12-13 09:07:11,2012-12-13 09:14:12,1,0.9,-73.96025,40.76208,1,N,-73.951234,40.7689,CRD,6.5,0,0.5,1.75,0,8.75
CMT,2012-12-20 22:32:11,2012-12-20 22:40:56,1,1.5,-73.984544,40.763944,1,N,-73.980115,40.782981,CSH,8,0.5,0.5,0,0,9
